@relation anime_rating

@attribute Director {A, B, C, D, E, F}
@attribute Storyboard {A, B, C, D, E, F}
@attribute CharacterDesign {A, B, C, D, E, F}
@attribute SoundDirector {A, B, C, D, E, F}
@attribute Producer {A, B, C, D, E, F}
@attribute AnimationProducer {A, B, C, D, E, F}
@attribute VoiceActor {A, B, C, D, E, F}
@attribute Class {A, B, C, D, E, F}

@data
B, B, B, C, C, C, C, B
B, B, C, B, B, B, B, B
A, B, B, B, B, B, F, B
B, B, B, B, C, C, B, B
E, D, E, D, E, D, F, E
C, C, B, C, B, C, B, A
C, C, C, C, C, C, C, C
D, C, C, B, C, C, C, D
C, C, C, C, C, C, E, C
B, B, B, B, B, B, B, B
C, C, C, C, C, C, C, C
D, C, C, D, D, C, C, D
B, B, B, B, C, B, B, B
B, C, D, C, C, C, C, C
A, B, B, B, A, B, B, A
C, B, B, B, B, B, B, B
C, B, C, C, B, B, C, B
B, B, B, B, B, B, B, B
D, C, C, C, C, C, C, C
C, C, C, B, B, B, B, B
D, D, D, D, D, D, F, D
B, B, B, B, B, B, B, B
C, C, C, B, C, C, B, C
B, A, A, C, A, C, B, A
B, C, A, C, B, B, B, A
B, B, B, B, A, B, B, A
A, B, B, C, B, B, B, A
D, D, D, C, D, D, C, D
C, B, B, A, B, B, B, A
C, C, C, C, B, B, B, B
C, D, D, D, C, D, C, C
C, C, C, B, B, C, B, C
D, C, D, D, D, B, C, D
B, B, B, B, B, B, B, B
B, C, C, B, C, C, B, B
B, B, C, C, C, B, B, B
B, C, C, B, C, B, C, C
A, B, B, B, B, B, B, B
C, B, B, B, B, B, C, B
C, C, C, D, C, C, C, C
A, B, A, B, B, B, B, A
D, D, D, D, D, D, D, D
B, A, A, C, C, C, B, A
D, D, E, C, D, C, C, E
B, B, B, B, B, B, B, B
C, C, D, C, C, C, C, D
B, B, B, B, B, B, B, A
C, B, B, B, B, B, B, B
B, B, A, B, B, B, B, A
B, C, B, C, B, B, B, C
C, C, C, C, C, C, C, C
D, C, C, C, C, C, C, D
C, C, B, C, C, B, C, C
B, C, C, C, C, C, B, C
E, E, E, D, D, D, F, E
B, B, B, B, C, B, B, B
B, B, B, B, B, B, C, B
C, C, B, C, B, B, B, B
C, D, D, C, D, D, C, D
D, D, D, C, C, D, C, D
C, C, D, C, C, C, C, C
A, B, A, A, B, B, B, A
B, C, C, B, C, C, B, C
B, C, B, B, B, C, B, B
C, C, C, C, C, C, C, C
D, D, D, C, D, D, D, D
A, B, A, B, B, B, B, A
D, E, E, D, D, C, C, E
B, B, B, C, B, B, B, B
D, C, D, C, D, C, C, D
E, E, E, D, D, D, F, E
C, C, C, C, C, B, C, C
C, C, C, C, B, D, B, C
A, B, B, C, A, B, B, A
A, B, B, B, A, B, B, A
B, B, B, C, B, B, C, B
C, C, B, C, B, B, C, C
B, B, B, B, B, B, B, B
C, C, C, C, C, C, C, D
B, B, B, B, B, B, B, B
C, C, C, C, C, C, C, C
C, C, B, C, B, B, B, B
A, B, B, C, B, C, B, B
B, B, C, C, C, C, B, C
D, C, D, C, D, C, C, D
B, B, B, B, B, B, B, B
B, B, A, C, B, B, B, B
C, B, C, B, C, C, C, B
C, B, C, C, C, B, C, C
C, C, D, B, D, C, C, D
C, D, D, C, D, B, C, D
B, B, B, B, B, B, B, A
D, D, C, D, D, D, C, D
D, D, D, D, D, D, D, D
A, B, B, C, B, B, B, A
C, B, C, B, B, C, C, B
C, F, C, C, C, C, C, C
C, C, C, C, C, C, C, D
C, C, C, B, C, C, C, C
C, D, D, C, C, C, B, D
C, B, C, D, C, C, B, C
D, C, D, B, C, C, C, D
D, C, D, C, C, B, C, D
C, C, C, C, C, B, C, D
B, B, B, C, B, B, B, B
C, C, B, C, B, C, C, B
C, D, C, B, C, C, B, C
C, C, B, D, C, B, C, C
D, C, C, B, D, B, C, D
B, B, B, C, B, B, B, B
B, B, B, B, B, C, B, A
B, B, B, C, B, B, B, B
B, B, A, B, B, B, B, B
A, B, A, C, B, C, B, A
F, C, C, B, C, C, B, B
B, D, F, D, D, B, C, E
C, C, C, B, C, C, C, C
B, B, C, B, B, C, B, B
C, B, B, C, C, B, C, C
B, B, A, B, B, B, C, A
C, C, B, C, F, B, B, B
C, C, C, D, D, C, C, D
C, C, B, C, C, C, C, C
E, E, E, E, E, B, C, E
C, C, C, C, C, B, C, C
C, C, D, C, D, C, C, D
B, C, C, B, C, C, C, C
B, B, B, B, C, C, C, B
B, B, B, C, B, B, B, B
D, C, C, C, D, C, C, C
C, C, C, B, C, C, C, C
C, C, C, C, C, C, C, C
B, B, A, B, B, B, B, A
B, B, B, C, C, B, B, C
C, C, D, C, C, C, D, D
C, C, B, B, C, B, C, B
C, C, C, B, C, C, C, D
C, B, B, B, B, B, B, B
C, C, C, C, C, C, C, D
B, B, B, B, B, B, B, B
B, B, B, B, B, B, B, B
B, B, B, C, B, B, C, B
B, C, B, B, B, B, B, B
B, C, A, B, B, B, B, A
A, B, B, C, B, B, C, B
C, D, C, C, C, C, C, D
A, B, B, B, A, B, B, A
C, C, C, C, C, C, C, C
C, B, C, B, C, B, C, B
B, B, C, C, B, C, B, B
B, B, C, C, C, B, C, C
B, B, B, C, A, B, B, B
B, B, B, B, B, B, B, A
E, C, C, C, E, B, C, F
C, C, D, C, D, D, C, D
B, B, B, B, B, B, B, B
C, C, C, B, C, C, B, C
B, C, C, C, C, B, C, B
B, B, C, C, C, B, B, A
B, B, B, B, B, B, B, B
C, C, C, C, C, B, C, C
C, D, D, C, C, C, C, D
B, B, C, A, B, B, B, C
C, B, C, C, C, B, C, C
B, C, B, C, B, B, B, B
B, B, C, B, B, C, C, B
C, C, C, C, C, C, B, C
B, B, B, B, B, B, B, B
B, C, C, C, B, C, C, C
C, C, C, C, C, C, B, C
B, B, B, B, B, C, C, C
B, C, C, C, C, C, B, C
C, C, C, B, B, C, B, B
B, B, B, B, C, B, B, A
C, C, C, B, C, C, C, B
B, D, C, D, C, C, B, B
B, B, B, B, B, B, B, B
A, B, B, B, A, B, B, A
B, B, B, B, A, B, B, A
C, C, C, C, F, B, C, C
B, B, B, B, B, B, B, A
D, B, B, C, B, C, B, B
B, B, B, C, B, B, C, B
D, C, C, C, D, C, C, D
C, C, C, B, C, D, C, C
B, B, A, C, A, C, B, A
C, B, B, B, B, B, B, B
B, B, B, B, B, B, B, B
C, C, C, C, C, C, C, C
C, D, D, C, D, D, C, D
C, F, C, C, C, C, C, C
D, C, D, C, C, C, C, C
B, B, B, C, B, B, B, B
C, C, B, C, B, B, B, B
C, B, B, B, B, B, B, B
C, C, C, B, C, C, C, C
C, C, C, C, C, C, C, C
B, B, B, C, B, B, B, B
B, B, A, B, B, B, B, A
C, B, C, C, C, C, C, C
B, B, B, C, B, B, B, B
C, C, B, B, B, B, B, C
B, B, B, B, B, B, B, B
C, B, C, B, B, C, C, C
A, B, B, B, B, B, C, B
B, B, B, B, B, A, B, A
B, C, C, C, C, B, C, C
C, C, B, C, B, B, B, C
A, B, A, B, B, B, B, A
B, B, B, C, B, B, B, B
C, C, C, B, C, C, B, C
C, D, D, B, C, C, C, E
C, C, C, C, C, C, C, C
B, B, C, B, B, C, C, B
B, B, A, B, A, B, B, A
C, C, C, C, B, C, C, C
B, B, B, B, B, B, C, B
C, B, C, C, B, B, B, C
B, B, B, C, A, B, B, A
A, B, B, C, B, B, B, A
B, C, B, B, C, C, C, C
E, C, B, C, C, B, C, C
C, D, B, B, B, C, B, B
C, B, C, B, F, B, C, C
B, B, B, B, A, B, B, A
